Time(s),ValveApt(%),ValveAng(°),ValveArea(m2),Temperature(K),IntakeP(Pa),OutputP(Pa),Massflow(kg/s),ReynoldsD,CD,KV
132.5,13.7,29.59,2.779991568505899e-05,295.7499999999999,935917.6837599999,91922.10870000004,0.02299000310800972,91612.11373124327,0.3768082786171454,69.28544624428568
133,13.7,29.59,2.779991568505899e-05,296.2499999999999,934376.61775,90906.32610000001,0.02302064707604618,91614.73103160612,0.3782521687528705,69.28566012687077
133.5,13.7,29.59,2.779991568505899e-05,296.05,938999.8157800001,91922.10870000004,0.02249274728533033,89560.51444348347,0.3676344590375827,69.26846702745465
134,13.7,29.59,2.779991568505899e-05,295.85,938486.12711,92430,0.0207507441387782,82667.39168488246,0.3392331518666782,69.19741684293619
134.5,13.7,29.59,2.779991568505899e-05,295.7499999999999,937458.7497700001,92937.89130000002,0.02341177856077247,93292.83297977988,0.3830904271937587,69.30045101107225
135,13.7,29.59,2.779991568505899e-05,296.45,937458.7497700001,90906.32610000001,0.02048400699068897,81477.29451508544,0.3355792956479605,69.18475780388923
135.5,13.7,29.59,2.779991568505899e-05,295.7499999999999,937458.7497700001,91922.10870000004,0.02144465577342865,85454.10952807764,0.350902103398112,69.22702066225506
136,13.7,29.59,2.779991568505899e-05,295.95,934890.30642,91922.10870000004,0.01839508326480833,73263.73437114611,0.30193047884235,69.07684826243835
136.5,13.7,29.59,2.779991568505899e-05,296.05,934890.30642,93445.78260000004,0.02268412741846285,90322.54244122785,0.3723922519591776,69.27402398788064
137,13.7,29.59,2.779991568505899e-05,296.35,932321.86307,93445.78260000004,0.02286536099345799,90973.05361150479,0.3765922184080302,69.2794010633459
137.5,13.7,29.59,2.779991568505899e-05,295.65,931808.1743999999,90906.32610000001,0.02323358409286643,92606.92132582006,0.3824153520910971,69.29237315941504
138,13.7,29.59,2.779991568505899e-05,296.2499999999999,934376.61775,91922.10870000004,0.02168765728224969,86309.86270956781,0.3563498182775179,69.2357025175112
138.5,13.7,29.59,2.779991568505899e-05,296.2499999999999,937458.7497700001,90398.43479999999,0.02118489775833927,84309.04238490551,0.3469445480735864,69.2158574791705
139,13.7,29.59,2.779991568505899e-05,295.95,933349.2404100001,92937.89130000002,0.02213981126719013,88178.19568177023,0.3639951445784373,69.25327948771334
139.5,13.7,29.59,2.779991568505899e-05,295.85,932321.86307,91414.21740000002,0.02103381983405346,83795.11651350967,0.3461343897330678,69.20798558861983
140,13.7,29.59,2.779991568505899e-05,296.15,935917.6837599999,91922.10870000004,0.02103386894236765,83729.80301840781,0.344980113936861,69.20894883411644
140.5,13.7,29.59,2.779991568505899e-05,295.85,932321.86307,90906.32610000001,0.02101860194722241,83734.49107266446,0.3458839628485146,69.20732818129737
